year,team,team_id,conf,quad_id,seed,round,kadj_o,kadj_o_rank,kadj_d,kadj_d_rank,kadj_t,kadj_t_rank,badj_o,badj_o_rank,badj_d,badj_d_rank,barthag,barthag_rank,efg%,efg%_rank,efg%d,efgd%_rank,tov%,tov%_rank,tov%d,tov%d_rank,oreb%,oreb%_rank,dreb%,dreb%_rank,ftr,ftr_rank,ftrd,ftrd_rank,2pt%,2pt%_rank,2pt%d,2pt%d_rank,3pt%,3pt%_rank,3pt%d,3pt%d_rank,3ptr,3ptr_rank,3ptrd,3ptrd_rank
2025,St. John's,192,BE,3,2,32,113.938,64,87.5628,1,70.1918,49,112.558,70,89.089,2,0.936,15,49.7,244,46.6,19,15.6,74,21.9,13,37.3,9,71.1,134,30.2,270,30.4,115,51.5,162,45.8,13,30.4,338,31.8,69,30.3,347,40.8,254
2025,Tennessee,199,SEC,1,2,8,119.981,18,88.5426,3,63.6241,348,119.285,19,91.082,3,0.957,6,52.8,87,44.4,2,16.0,102,17.8,133,35.4,30,69.9,207,35.4,112,29.4,88,54.1,68,46.7,31,34.0,174,27.8,1,43.0,83,45.1,341
2025,Texas,200,SEC,1,11,68,116.755,38,99.6019,56,67.4356,171,116.676,39,100.174,69,0.852,50,52.5,97,48.4,67,14.3,18,16.6,221,29.8,191,70.3,180,36.6,73,39.3,320,51.8,149,47.5,52,36.0,66,33.3,153,35.4,272,36.2,94
2025,Texas A&M,201,SEC,4,4,32,116.281,43,92.2075,8,66.2185,237,115.676,49,93.121,11,0.924,22,47.5,318,48.2,58,18.2,253,19.7,57,42.0,1,72.2,76,41.7,17,35.3,239,48.0,293,46.5,27,31.1,318,33.4,160,37.6,209,47.0,353
2025,Texas Tech,204,B12,3,3,8,125.335,6,97.2799,37,65.4879,281,126.01,6,96.7,32,0.955,7,55.5,30,48.0,55,14.8,33,17.4,166,34.3,53,71.5,112,29.7,285,33.5,197,54.3,64,48.2,73,37.9,19,31.7,63,44.6,62,34.1,34
2025,Troy,205,SB,1,14,64,107.706,153,100.828,71,66.3679,229,106.678,163,100.648,73,0.661,103,50.1,223,47.2,31,19.9,333,19.8,53,38.6,6,68.0,293,37.8,50,29.3,84,53.9,77,46.2,21,30.3,340,32.6,109,44.8,58,38.1,154
2025,UC San Diego,256,BW,4,12,64,115.29,57,96.5133,30,65.7295,271,113.482,64,96.988,35,0.859,45,55.4,33,47.7,44,13.4,7,23.3,3,25.6,309,71.6,107,33.8,158,29.8,95,56.1,31,46.2,21,36.5,57,33.1,129,49.6,8,44.3,328
2025,UCLA,212,B10,1,7,32,116.828,36,95.0405,17,64.9617,301,117.87,27,95.26,20,0.92,25,53.0,82,50.5,163,15.9,94,22.8,7,32.8,94,70.8,156,32.9,182,34.6,221,53.1,106,51.2,194,35.2,102,33.2,140,36.0,260,44.8,337
2025,UNC Wilmington,216,CAA,3,14,64,112.326,84,107.183,184,65.3908,285,112.229,76,106.792,184,0.639,109,52.2,109,50.9,183,16.0,102,17.4,166,35.4,30,71.9,92,37.8,50,30.3,111,53.8,82,50.4,158,33.0,218,34.4,222,36.2,256,42.6,298
2025,Utah St.,221,MWC,1,10,64,120.785,17,105.555,149,67.6245,158,122.555,13,105.19,148,0.853,48,56.0,21,51.8,235,16.0,102,20.2,40,34.6,46,69.7,214,37.6,54,36.2,268,57.7,13,52.6,257,35.8,71,33.8,186,42.3,99,44.4,332
2025,Vanderbilt,225,SEC,2,10,64,118.017,30,101.854,83,69.5281,65,118.641,22,101.166,84,0.862,43,51.7,128,52.9,276,14.7,29,20.0,47,32.2,111,70.3,180,34.0,151,39.0,310,53.6,87,51.5,208,32.5,246,36.9,338,40.2,150,37.5,130
